Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,AgeatFirstBirth,DietBreadth,GestationLen,HabitatBreadth,HomeRange,LitterSize,LittersPerYear,MaxLongevity,NeonateBodyMass,PopulationDensity,SexualMaturityAge,Terrestriality,TrophicLevel
Carnivora,Canidae,Canis,adustus,Canis adustus,nocturnal,10392.49,NA,6,65,1,1.01,4.5,NA,137,NA,0.74,249.88,ground dwelling,omnivore
Carnivora,Canidae,Canis,aureus,Canis aureus,both,9658.7,NA,6,61.24,1,2.95,3.74,NA,192,211.82,0.22,371.23,ground dwelling,omnivore
Carnivora,Canidae,Canis,latrans,Canis latrans,both,11989.1,365,1,61.74,1,18.88,5.72,NA,262,200.01,0.25,372.9,ground dwelling,carnivore
Carnivora,Canidae,Canis,lupus,Canis lupus,both,31756.51,547.5,1,63.5,1,159.86,4.98,2,354,412.31,0.01,679.37,ground dwelling,carnivore
Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,both,800143.05,NA,3,273.75,NA,NA,1.22,1,314.4,22977.05,0.54,610.97,NA,herbivore
Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,NA,5.00E+05,NA,2,273.75,NA,NA,1,1,267,NA,NA,755.15,NA,herbivore
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,both,635974.34,912.5,2,296.78,1,NA,1.22,1,318.96,NA,0.75,797.31,ground dwelling,herbivore
Primates,Pitheciidae,Callicebus,cupreus,Callicebus cupreus,diurnal,1117.02,NA,NA,129.25,1,NA,1.01,NA,NA,73.6,4.89,NA,above ground,NA
Primates,Pitheciidae,Callicebus,donacophilus,Callicebus donacophilus,diurnal,897.67,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus hoffmannsi,diurnal,1067.61,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
Primates,Pitheciidae,Callicebus,modestus,Callicebus modestus,diurnal,992.4,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys derbianus,nocturnal,326.72,NA,3,NA,1,NA,3.14,NA,60,NA,11.86,251.71,above ground,omnivore
Didelphimorphia,Didelphidae,Caluromys,lanatus,Caluromys lanatus,nocturnal,350.33,NA,4,NA,2,NA,NA,NA,60,NA,NA,NA,above ground,omnivore
Didelphimorphia,Didelphidae,Caluromys,philander,Caluromys philander,nocturnal,246.47,334.58,4,23.99,2,0.009960363,4.18,2,76,0.2,62.32,314.52,above ground,omnivore
Didelphimorphia,Didelphidae,Caluromysiops,irrupta,Caluromysiops irrupta,nocturnal,257.48,NA,3,NA,1,NA,2,NA,94,NA,8.85,NA,above ground,omnivore
Cingulata,Dasypodidae,Calyptophractus,retusus,Calyptophractus retusus,NA,129.99,NA,4,NA,2,NA,NA,NA,144,NA,NA,NA,ground dwelling,omnivore
Artiodactyla,Camelidae,Camelus,bactrianus,Camelus bactrianus,NA,554515.91,1460,2,397.99,1,NA,1.39,1,480,34346.64,0.06,1330.6,ground dwelling,herbivore
Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,both,791321.76,NA,2,NA,1,NA,NA,NA,NA,NA,NA,755.15,ground dwelling,herbivore
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,NA,618642.42,NA,NA,280.48,NA,10.04,NA,1,240,NA,NA,755.15,NA,NA
Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,NA,182253.04,912.5,5,248.49,NA,NA,1.39,NA,260.4,5875,2.39,NA,NA,herbivore
Carnivora,Canidae,Canis,mesomelas,Canis mesomelas,both,8247.3,NA,6,62.5,1,11.93,3.89,NA,168,177.2,0.74,241.4,ground dwelling,omnivore
Carnivora,Canidae,Canis,simensis,Canis simensis,diurnal,14361.86,NA,1,63.61,1,4.2,NA,NA,NA,NA,1.2,754.74,ground dwelling,carnivore
Rodentia,Spalacidae,Cannomys,badius,Cannomys badius,NA,472.07,NA,NA,41.49,NA,NA,2,NA,48,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Capra,caucasica,Capra caucasica,NA,58149.52,NA,NA,155,NA,NA,1.09,NA,264,NA,NA,1015,NA,NA
Artiodactyla,Bovidae,Capra,falconeri,Capra falconeri,diurnal,54303.37,730,2,167.98,1,NA,1.73,NA,168,NA,NA,1015,ground dwelling,herbivore
Artiodactyla,Bovidae,Capra,ibex,Capra ibex,NA,69546.83,912.5,2,167.5,1,NA,1.11,NA,267.6,2779.07,NA,838.54,ground dwelling,herbivore
Erinaceomorpha,Erinaceidae,Atelerix,algirus,Atelerix algirus,nocturnal,903.98,NA,3,39.25,NA,NA,2.5,2,84,NA,NA,NA,NA,omnivore
Erinaceomorpha,Erinaceidae,Atelerix,frontalis,Atelerix frontalis,nocturnal,329.12,NA,6,37.13,1,NA,4.99,1.5,NA,10.55,NA,411.43,ground dwelling,omnivore
Primates,Atelidae,Ateles,belzebuth,Ateles belzebuth,diurnal,6692.42,NA,2,138.2,1,2.28,1.02,NA,336,NA,13.49,NA,above ground,herbivore
Primates,Atelidae,Ateles,chamek,Ateles chamek,diurnal,7053.92,NA,2,NA,1,1.16,NA,NA,NA,NA,3.39,NA,above ground,herbivore
Primates,Atelidae,Ateles,fusciceps,Ateles fusciceps,diurnal,9067.94,1773.9,2,224.7,1,NA,1.01,NA,288,499.99,NA,1799.68,above ground,herbivore
Primates,Atelidae,Ateles,geoffroyi,Ateles geoffroyi,diurnal,7582.4,2080.5,2,226.37,1,0.73,1.01,NA,327.6,425.85,19.06,2104.57,above ground,herbivore
Primates,Atelidae,Ateles,marginatus,Ateles marginatus,diurnal,6229.28,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,herbivore
Primates,Atelidae,Ateles,paniscus,Ateles paniscus,diurnal,8697.25,1825,6,228.18,1,1.36,1,NA,453.6,478.64,8,2104.57,above ground,omnivore
Primates,Pitheciidae,Callicebus,moloch,Callicebus moloch,diurnal,958.13,1095,3,164,1,0.02,1.01,NA,303.6,74.4,18.43,1262.74,above ground,omnivore
Primates,Pitheciidae,Callicebus,oenanthe,Callicebus oenanthe,diurnal,992.4,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
Primates,Pitheciidae,Callicebus,olallae,Callicebus olallae,diurnal,992.4,NA,NA,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,NA
Primates,Pitheciidae,Callicebus,personatus,Callicebus personatus,diurnal,1390.8,NA,4,NA,1,0.03,1.01,NA,NA,NA,13.03,NA,above ground,herbivore
Primates,Cebidae,Callimico,goeldii,Callimico goeldii,diurnal,558,491.83,2,153.99,1,0.32,1.05,NA,214.8,50.5,2.08,413.84,above ground,omnivore
Rodentia,Echimyidae,Callistomys,pictus,Callistomys pictus,NA,518.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Cebidae,Callithrix,argentata,Callithrix argentata,diurnal,382.92,609.55,4,NA,1,NA,1.84,NA,201.6,35.8,7.52,701.52,above ground,omnivore
Primates,Cebidae,Callithrix,aurita,Callithrix aurita,diurnal,386.2,NA,3,140,1,0.08,2,NA,NA,NA,NA,NA,above ground,omnivore
Primates,Cebidae,Callithrix,emiliae,Callithrix emiliae,NA,309.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Cebidae,Callithrix,flaviceps,Callithrix flaviceps,diurnal,372.97,NA,3,140,1,0.22,2,NA,NA,NA,11.85,NA,above ground,omnivore
Primates,Cebidae,Callithrix,geoffroyi,Callithrix geoffroyi,diurnal,342,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Primates,Cebidae,Callithrix,humeralifera,Callithrix humeralifera,diurnal,374.99,NA,4,NA,1,0.1,NA,NA,180,34.5,28.32,NA,above ground,omnivore
Primates,Cebidae,Callithrix,jacchus,Callithrix jacchus,diurnal,290.21,555.1,5,144,1,0.02,2.31,NA,201.6,27.74,508.18,455.99,above ground,omnivore
Primates,Cebidae,Callithrix,kuhlii,Callithrix kuhlii,diurnal,374.99,NA,4,NA,1,0.06,NA,NA,NA,NA,59,NA,above ground,omnivore
Primates,Cebidae,Callithrix,mauesi,Callithrix mauesi,NA,443.79,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,omnivore
Primates,Cebidae,Callithrix,nigriceps,Callithrix nigriceps,diurnal,401.12,NA,4,NA,1,NA,2,NA,NA,NA,NA,NA,above ground,omnivore
Primates,Cebidae,Callithrix,penicillata,Callithrix penicillata,diurnal,339.98,NA,NA,NA,1,0.01,2,NA,NA,NA,NA,NA,above ground,NA
Primates,Cebidae,Callithrix,pygmaea,Callithrix pygmaea,diurnal,123.94,840.41,3,134.44,1,0.002117904,1.93,NA,181.2,14.5,15.9,708.5,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,adamsi,Callosciurus adamsi,diurnal,208.72,NA,6,NA,1,NA,1.94,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,baluensis,Callosciurus baluensis,diurnal,323.91,NA,6,NA,1,NA,3,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,caniceps,Callosciurus caniceps,NA,264.91,NA,NA,NA,1,0.01,2.19,NA,114,NA,18.6,NA,above ground,NA
Rodentia,Sciuridae,Callosciurus,erythraeus,Callosciurus erythraeus,NA,283.23,NA,3,NA,1,0.008950755,1.94,2,193.2,NA,622.69,NA,above ground,herbivore
Rodentia,Sciuridae,Callosciurus,melanogaster,Callosciurus melanogaster,diurnal,296,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,nigrovittatus,Callosciurus nigrovittatus,diurnal,208.3,NA,6,NA,1,0.01,2.36,NA,NA,NA,5.75,NA,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,diurnal,209.49,NA,6,NA,1,0.02,2.62,NA,115.2,NA,98.32,413.84,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,orestes,Callosciurus orestes,diurnal,323.91,NA,6,NA,1,NA,3,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Sciuridae,Callosciurus,prevostii,Callosciurus prevostii,diurnal,400,NA,6,46.08,1,NA,1.29,NA,68,16.34,NA,NA,above ground,omnivore
Rodentia,Cricetidae,Calomys,boliviae,Calomys boliviae,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Calomys,hummelincki,Calomys hummelincki,nocturnal,27,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Calomys,laucha,Calomys laucha,NA,14,NA,3,25,2,NA,5.3,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Cricetidae,Calomys,lepidus,Calomys lepidus,NA,20.59,NA,NA,NA,1,NA,4.29,NA,NA,2,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Calomys,musculinus,Calomys musculinus,NA,20.2,NA,3,20.97,1,NA,6.27,NA,NA,NA,253.33,76.03,ground dwelling,omnivore
Rodentia,Cricetidae,Calomys,sorellus,Calomys sorellus,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Calomys,tener,Calomys tener,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Calomyscidae,Calomyscus,bailwardi,Calomyscus bailwardi,NA,21.38,NA,NA,NA,NA,NA,4,1,NA,NA,354.3,NA,NA,NA
Carnivora,Canidae,Atelocynus,microtis,Atelocynus microtis,NA,8363.22,NA,1,NA,1,NA,NA,NA,132,NA,NA,NA,ground dwelling,carnivore
Rodentia,Hystricidae,Atherurus,africanus,Atherurus africanus,nocturnal,2875.65,NA,5,108.18,2,0.12,1.5,2.75,274.8,146.27,NA,NA,above ground,omnivore
Rodentia,Hystricidae,Atherurus,macrourus,Atherurus macrourus,nocturnal,2000,NA,5,NA,2,NA,1.5,NA,NA,NA,NA,NA,above ground,omnivore
Carnivora,Herpestidae,Atilax,paludinosus,Atilax paludinosus,both,3600.16,NA,6,77.27,2,1.73,2,2,209,100,NA,234.83,ground dwelling,omnivore
Rodentia,Sciuridae,Atlantoxerus,getulus,Atlantoxerus getulus,NA,250.57,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Auliscomys,boliviensis,Auliscomys boliviensis,diurnal,70.91,NA,NA,NA,1,NA,3.4,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Auliscomys,pictus,Auliscomys pictus,NA,48.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.95,NA,NA,NA
Rodentia,Cricetidae,Auliscomys,sublimis,Auliscomys sublimis,NA,38,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ground dwelling,NA
Primates,Indriidae,Avahi,laniger,Avahi laniger,nocturnal,1092.28,941.7,3,136.15,2,0.01,1.01,1,NA,NA,84.85,NA,above ground,herbivore
Primates,Indriidae,Avahi,occidentalis,Avahi occidentalis,both,828.98,NA,1,NA,1,0.01,1.02,NA,NA,NA,66.99,NA,above ground,herbivore
Artiodactyla,Cervidae,Axis,axis,Axis axis,NA,69499.99,NA,NA,227.49,NA,0.67,1.01,NA,249.6,3156.86,6.69,543.68,NA,NA
Artiodactyla,Cervidae,Axis,calamianensis,Axis calamianensis,diurnal,39812.6,NA,NA,224,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Cervidae,Axis,kuhlii,Axis kuhlii,diurnal,54999.99,NA,2,227.49,NA,NA,1.22,1.3,NA,NA,4.44,NA,NA,herbivore
Artiodactyla,Cervidae,Axis,porcinus,Axis porcinus,NA,37448.29,NA,3,220.13,NA,0.52,1,NA,240,2483.33,16.5,464.04,NA,herbivore
Artiodactyla,Suidae,Babyrousa,babyrussa,Babyrousa babyrussa,diurnal,92950.09,NA,6,156.5,1,NA,1.73,1.5,288,715,NA,362.5,ground dwelling,omnivore
Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,nocturnal,3.97,NA,NA,NA,1,NA,1,NA,NA,0.59,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,nocturnal,6.57,365,1,138.81,1,NA,0.99,1,NA,2,NA,NA,above ground,carnivore
Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,NA,14.43,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,above ground,herbivore
Rodentia,Muridae,Bandicota,bengalensis,Bandicota bengalensis,NA,226.99,91.25,NA,18.89,NA,NA,7.29,5.9,NA,4.85,NA,63.52,NA,NA
Rodentia,Muridae,Bandicota,indica,Bandicota indica,NA,583.09,272.5,NA,20.26,NA,NA,6.12,NA,NA,9.77,NA,145.81,NA,NA
Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus niger,NA,19094.32,NA,7,126,1,NA,1,NA,122.04,1940,1.14,NA,ground dwelling,omnivore
Artiodactyla,Bovidae,Cephalophus,nigrifrons,Cephalophus nigrifrons,both,14676.33,NA,4,NA,1,NA,NA,NA,236.4,NA,2,NA,ground dwelling,herbivore
Artiodactyla,Bovidae,Cephalophus,ogilbyi,Cephalophus ogilbyi,diurnal,18386.42,NA,NA,121.66,NA,0.07,1,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus rufilatus,diurnal,12114.57,794.63,5,233.99,1,NA,1,NA,114,975.1,3.18,NA,ground dwelling,omnivore
Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus silvicultor,both,62006.6,NA,5,234.43,1,NA,1,NA,207.96,4400.72,0.5,NA,ground dwelling,omnivore
Artiodactyla,Bovidae,Cephalophus,spadix,Cephalophus spadix,nocturnal,56857.02,NA,3,NA,1,NA,NA,NA,65.04,NA,NA,NA,ground dwelling,herbivore
Artiodactyla,Bovidae,Cephalophus,zebra,Cephalophus zebra,NA,15654.75,NA,3,223.89,1,NA,1,NA,146.04,1704.99,NA,NA,ground dwelling,omnivore
Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Ceratotherium simum,both,2285939.43,2463.75,1,534.19,1,19.09,1,NA,600,48500,0.47,2741.23,ground dwelling,herbivore
Diprotodontia,Burramyidae,Cercartetus,caudatus,Cercartetus caudatus,nocturnal,23.05,465,3,NA,3,NA,2.37,2,38.4,NA,49.99,464.04,above ground,omnivore
Diprotodontia,Burramyidae,Cercartetus,concinnus,Cercartetus concinnus,nocturnal,15.96,410.62,NA,52.14,2,NA,4.6,1,NA,0.01,NA,NA,above ground,NA
Diprotodontia,Burramyidae,Cercartetus,lepidus,Cercartetus lepidus,nocturnal,8.03,NA,2,NA,2,NA,3.33,NA,NA,NA,NA,NA,above ground,omnivore
Diprotodontia,Burramyidae,Cercartetus,nanus,Cercartetus nanus,nocturnal,26.85,152.08,4,NA,2,0.005564565,3.96,2,96,0.01,788.66,193.8,above ground,omnivore
Primates,Cercopithecidae,Cercocebus,agilis,Cercocebus agilis,diurnal,7105.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Cercopithecidae,Cercocebus,atys,Cercocebus atys,diurnal,6941.24,NA,NA,165.08,NA,NA,1.01,NA,321.6,527.17,8.85,1321.67,NA,NA
Primates,Cercopithecidae,Cercocebus,galeritus,Cercocebus galeritus,diurnal,7077.66,2372.5,2,174.43,2,0.51,1.01,NA,252,NA,70.11,2735.94,above ground,herbivore
Primates,Cercopithecidae,Cercocebus,torquatus,Cercocebus torquatus,diurnal,7293.07,1704.55,1,168.98,NA,NA,1.01,NA,360,NA,40.15,1318.86,NA,herbivore
Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus ascanius,diurnal,3540.24,1825,4,148.5,NA,0.16,1.01,NA,339.6,371,105.79,1718.73,NA,omnivore
Primates,Cercopithecidae,Cercopithecus,campbelli,Cercopithecus campbelli,diurnal,3627.73,NA,3,180.8,NA,0.01,1.02,NA,396,NA,NA,NA,NA,herbivore
Primates,Cercopithecidae,Cercopithecus,cephus,Cercopithecus cephus,diurnal,3444.88,1825,3,169.51,1,0.24,1.01,NA,276,337.19,21.04,1521.9,above ground,omnivore
Primates,Cercopithecidae,Cercopithecus,diana,Cercopithecus diana,diurnal,4358.91,1961.87,3,NA,NA,1.25,1.01,NA,447.6,466.9,16.47,2279.95,NA,omnivore
Primates,Cercopithecidae,Cercopithecus,dryas,Cercopithecus dryas,diurnal,2784.06,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA
Primates,Cercopithecidae,Cercopithecus,erythrogaster,Cercopithecus erythrogaster,diurnal,3444.88,NA,2,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,omnivore
Primates,Cercopithecidae,Cercopithecus,erythrotis,Cercopithecus erythrotis,diurnal,3254.98,NA,2,NA,1,NA,1.02,NA,NA,NA,NA,NA,above ground,omnivore
Primates,Cercopithecidae,Cercopithecus,lhoesti,Cercopithecus lhoesti,diurnal,5307.47,NA,3,NA,NA,NA,1,NA,192,NA,4.99,NA,NA,omnivore
Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,diurnal,5041.29,2087.8,4,138.39,NA,0.1,1,NA,325.2,402,70.39,2049.25,NA,omnivore
Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus mona,diurnal,3980.17,NA,NA,NA,NA,NA,1,NA,360,280.49,NA,NA,NA,NA
Primates,Cercopithecidae,Cercopithecus,neglectus,Cercopithecus neglectus,diurnal,5324.52,1704.55,3,172.07,2,0.06,1.02,NA,315.6,259.95,29.03,2076.39,above ground,omnivore
Primates,Cercopithecidae,Cercopithecus,nictitans,Cercopithecus nictitans,diurnal,5256.91,NA,4,169.51,1,1.15,1,NA,276,403.83,22.5,1684.59,above ground,omnivore
Primates,Cercopithecidae,Cercopithecus,petaurista,Cercopithecus petaurista,diurnal,3233.67,NA,NA,NA,NA,NA,1.02,NA,228,NA,25.95,NA,NA,NA
Primates,Cercopithecidae,Cercopithecus,pogonias,Cercopithecus pogonias,diurnal,3578.27,1825,3,169.51,1,1.15,1.01,NA,289.2,337.19,19.04,1684.59,above ground,omnivore
Primates,Cercopithecidae,Cercopithecus,preussi,Cercopithecus preussi,diurnal,5132.57,NA,4,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,omnivore
Primates,Cercopithecidae,Cercopithecus,sclateri,Cercopithecus sclateri,diurnal,3067.29,NA,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA
Primates,Cercopithecidae,Cercopithecus,solatus,Cercopithecus solatus,diurnal,5256.91,1733.75,NA,NA,NA,NA,1.01,NA,NA,NA,NA,NA,NA,NA
Primates,Cercopithecidae,Cercopithecus,wolfi,Cercopithecus wolfi,diurnal,3255.18,NA,NA,NA,NA,NA,1.02,NA,NA,435,NA,NA,NA,NA
Carnivora,Canidae,Cerdocyon,thous,Cerdocyon thous,nocturnal,5741.66,NA,7,57.18,1,1.41,3.09,NA,138,140,3.54,279.15,ground dwelling,omnivore
Artiodactyla,Cervidae,Cervus,elaphus,Cervus elaphus,both,240867.13,993.71,5,235.61,1,58.42,1.09,NA,321.6,8255.82,2.9,659.91,ground dwelling,herbivore
Artiodactyla,Cervidae,Cervus,nippon,Cervus nippon,both,52999.99,1095,2,223.66,1,1.43,1,NA,305.04,4277.11,0.75,518.12,ground dwelling,herbivore
Chiroptera,Molossidae,Chaerephon,bivittatus,Chaerephon bivittatus,NA,15.42,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Molossidae,Chaerephon,jobensis,Chaerephon jobensis,NA,20.71,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Chaerephon,major,Chaerephon major,NA,15.17,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Molossidae,Chaerephon,nigeriae,Chaerephon nigeriae,NA,20.14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Molossidae,Chaerephon,plicatus,Chaerephon plicatus,NA,21.83,NA,1,88.64,1,NA,0.99,2,NA,4.5,NA,NA,above ground,carnivore
Chiroptera,Molossidae,Chaerephon,pumilus,Chaerephon pumilus,NA,10.98,152.08,1,62.57,1,NA,1,3,60,3.63,NA,140.97,above ground,carnivore
Chiroptera,Molossidae,Chaerephon,russatus,Chaerephon russatus,NA,16.98,NA,NA,NA,1,NA,0.99,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Molossidae,Chaerephon,tomensis,Chaerephon tomensis,NA,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Gliridae,Chaetocauda,sichuanensis,Chaetocauda sichuanensis,nocturnal,31.51,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Heteromyidae,Chaetodipus,arenarius,Chaetodipus arenarius,NA,23,NA,NA,NA,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA
Rodentia,Heteromyidae,Chaetodipus,baileyi,Chaetodipus baileyi,NA,28.44,NA,2,NA,NA,NA,3.68,NA,NA,NA,3548.51,NA,NA,omnivore
Rodentia,Heteromyidae,Chaetodipus,californicus,Chaetodipus californicus,NA,23.01,NA,NA,25.16,NA,NA,4,NA,NA,1.5,NA,NA,NA,NA
Rodentia,Heteromyidae,Chaetodipus,fallax,Chaetodipus fallax,NA,19.19,NA,3,25,1,0.002300009,3.45,1,99.6,NA,502.5,168.83,ground dwelling,herbivore
Rodentia,Heteromyidae,Chaetodipus,formosus,Chaetodipus formosus,NA,20.02,NA,NA,28,NA,NA,5.28,1,60,1,NA,377.57,NA,NA
Rodentia,Heteromyidae,Chaetodipus,hispidus,Chaetodipus hispidus,NA,37.24,NA,1,NA,2,NA,5.34,2,NA,NA,NA,NA,ground dwelling,herbivore
Rodentia,Heteromyidae,Chaetodipus,intermedius,Chaetodipus intermedius,NA,14.94,NA,NA,NA,NA,NA,5.53,NA,NA,NA,425.17,NA,NA,NA
Rodentia,Heteromyidae,Chaetodipus,lineatus,Chaetodipus lineatus,nocturnal,23,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,ground dwelling,herbivore
Rodentia,Heteromyidae,Chaetodipus,nelsoni,Chaetodipus nelsoni,nocturnal,15.53,NA,3,30.63,2,0.002835545,3.46,NA,NA,NA,473.46,NA,ground dwelling,omnivore
Rodentia,Heteromyidae,Chaetodipus,penicillatus,Chaetodipus penicillatus,NA,15.57,NA,NA,26,NA,0.005027576,3.4,NA,NA,NA,172.99,NA,NA,NA
Rodentia,Heteromyidae,Chaetodipus,pernix,Chaetodipus pernix,NA,17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herbivore
Rodentia,Heteromyidae,Chaetodipus,spinatus,Chaetodipus spinatus,NA,16.34,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Cricetulus,migratorius,Cricetulus migratorius,NA,30.59,NA,NA,12,NA,NA,5.2,2,NA,NA,221.44,NA,NA,NA
Rodentia,Cricetidae,Cricetus,cricetus,Cricetus cricetus,NA,428.95,91.25,NA,19.5,NA,NA,7.14,2,48,4.71,NA,86.48,NA,NA
Soricomorpha,Soricidae,Crocidura,batesi,Crocidura batesi,NA,16.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,beatus,Crocidura beatus,NA,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,bottegi,Crocidura bottegi,NA,3.49,NA,NA,NA,NA,NA,2.99,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,canariensis,Crocidura canariensis,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,crossei,Crocidura crossei,NA,8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,cyanea,Crocidura cyanea,both,8.58,NA,4,NA,1,NA,3.59,NA,NA,NA,NA,NA,ground dwelling,omnivore
Soricomorpha,Soricidae,Crocidura,dolichura,Crocidura dolichura,NA,5.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,douceti,Crocidura douceti,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,elgonius,Crocidura elgonius,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,flavescens,Crocidura flavescens,both,31.22,NA,1,25,NA,NA,3.37,NA,NA,2.25,NA,NA,NA,carnivore
Soricomorpha,Soricidae,Crocidura,foxi,Crocidura foxi,NA,21,NA,NA,NA,NA,NA,1.99,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,fuliginosa,Crocidura fuliginosa,NA,12,NA,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,fulvastra,Crocidura fulvastra,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
