Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,AgeatFirstBirth,DietBreadth,GestationLen,HabitatBreadth,HomeRange,LitterSize,LittersPerYear,MaxLongevity,NeonateBodyMass,PopulationDensity,SexualMaturityAge,Terrestriality,TrophicLevel
Chiroptera,Vespertilionidae,Glauconycteris,variegata,Glauconycteris variegata,NA,11.25,NA,1,NA,1,NA,1.12,NA,NA,NA,NA,NA,above ground,carnivore
Didelphimorphia,Didelphidae,Glironia,venusta,Glironia venusta,nocturnal,114,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Gliridae,Glis,glis,Glis glis,both,128.09,319.37,NA,28.19,1,0.001479636,5.17,1,108,NA,3000,339.31,above ground,NA
Chiroptera,Vespertilionidae,Glischropus,tylopus,Glischropus tylopus,NA,4.59,NA,1,NA,1,NA,1,2,NA,1.25,NA,NA,above ground,carnivore
Chiroptera,Phyllostomidae,Glossophaga,commissarisi,Glossophaga commissarisi,NA,9.15,NA,3,NA,1,NA,0.98,2,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Glossophaga,leachii,Glossophaga leachii,NA,10.24,NA,3,NA,1,NA,0.98,2,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Glossophaga,longirostris,Glossophaga longirostris,NA,13.32,NA,3,NA,1,NA,0.98,2,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Glossophaga,morenoi,Glossophaga morenoi,NA,8.54,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Glossophaga,soricina,Glossophaga soricina,NA,9.97,NA,3,107.97,1,NA,1,2,120,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Glyphonycteris,daviesi,Glyphonycteris daviesi,NA,18.61,NA,2,NA,1,NA,0.98,NA,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Phyllostomidae,Glyphonycteris,sylvestris,Glyphonycteris sylvestris,NA,8.91,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Muridae,Golunda,ellioti,Golunda ellioti,NA,60.73,NA,2,NA,NA,NA,4.83,NA,NA,NA,NA,NA,NA,herbivore
Primates,Hominidae,Gorilla,beringei,Gorilla beringei,NA,149325.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primates,Hominidae,Gorilla,gorilla,Gorilla gorilla,diurnal,112588.99,3650,3,257,1,4.03,1.05,NA,648,2095.89,0.59,3353.12,ground dwelling,omnivore
Didelphimorphia,Didelphidae,Gracilinanus,aceramarcae,Gracilinanus aceramarcae,nocturnal,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphimorphia,Didelphidae,Gracilinanus,agilis,Gracilinanus agilis,nocturnal,22.03,NA,NA,NA,2,NA,12,NA,NA,NA,NA,NA,above ground,NA
Didelphimorphia,Didelphidae,Gracilinanus,dryas,Gracilinanus dryas,nocturnal,18.53,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Didelphimorphia,Didelphidae,Gracilinanus,emiliae,Gracilinanus emiliae,nocturnal,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphimorphia,Didelphidae,Gracilinanus,marica,Gracilinanus marica,nocturnal,23.8,NA,NA,NA,1,NA,5.99,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Muridae,Grammomys,ibeanus,Grammomys ibeanus,NA,41.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Grammomys,macmillani,Grammomys macmillani,NA,37.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Grammomys,minnae,Grammomys minnae,NA,35.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Graomys,domorum,Graomys domorum,NA,102,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ground dwelling,NA
Rodentia,Cricetidae,Graomys,edithae,Graomys edithae,NA,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Graomys,griseoflavus,Graomys griseoflavus,NA,68.32,NA,NA,NA,3,NA,6.97,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Gliridae,Graphiurus,kelleni,Graphiurus kelleni,nocturnal,10.5,NA,4,NA,2,NA,4.41,NA,NA,NA,NA,NA,above ground,omnivore
Rodentia,Gliridae,Graphiurus,murinus,Graphiurus murinus,nocturnal,20.07,NA,4,23.99,2,NA,3,NA,69.6,3.49,54.41,NA,above ground,omnivore
Rodentia,Gliridae,Graphiurus,nagtglasii,Graphiurus nagtglasii,nocturnal,30,NA,4,NA,2,NA,3.11,NA,NA,NA,NA,NA,above ground,omnivore
Didelphimorphia,Didelphidae,Gracilinanus,microtarsus,Gracilinanus microtarsus,nocturnal,29.3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Muridae,Grammomys,cometes,Grammomys cometes,NA,45,NA,NA,NA,NA,NA,2.9,2.75,NA,NA,NA,NA,NA,NA
Rodentia,Muridae,Grammomys,dolichurus,Grammomys dolichurus,NA,41.85,NA,NA,23.99,NA,NA,3.11,NA,52.8,4.19,206.68,83.05,NA,NA
Rodentia,Cricetidae,Isthmomys,pirrensis,Isthmomys pirrensis,NA,137.71,NA,3,NA,1,NA,2.43,NA,NA,NA,NA,NA,ground dwelling,omnivore
Rodentia,Dipodidae,Jaculus,jaculus,Jaculus jaculus,NA,59.8,304.16,NA,33.54,NA,NA,3.24,1.5,72,2,NA,240.52,NA,NA
Rodentia,Dipodidae,Jaculus,orientalis,Jaculus orientalis,NA,138.26,NA,NA,40,NA,NA,2.41,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Juliomys,pictipes,Juliomys pictipes,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cricetidae,Juscelinomys,candango,Juscelinomys candango,NA,97.29,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,ground dwelling,omnivore
Rodentia,Echimyidae,Kannabateomys,amblyonyx,Kannabateomys amblyonyx,nocturnal,599.99,NA,1,NA,1,NA,1,NA,19.2,NA,NA,NA,above ground,herbivore
